image_id,xai_method,randomization_level,cosine_similarity,spearman_correlation,top10_iou,actual_backend
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,gradcam,1,0.6162958278981221,0.2279597102492673,0.12008928571428572,cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,integrated_gradients,1,0.6308629877593852,0.6555855328626211,0.32401055408970975,cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,gradcam,2,0.12590901432713178,-0.4357129326942849,0.0,cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,integrated_gradients,2,0.5907155310192422,0.6238763414908971,0.2792861695347355,cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,gradcam,3,0.0,0.0,0.040647034425549566,cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,integrated_gradients,3,0.0,0.0,0.011693548387096775,cuda
021997c3bdae2ba306907f9085ea95ec105f7ac273bd706ac1d63b57eb923acb,gradcam,1,0.30047134254549107,-0.07058521723321948,0.005309025343083242,cuda
021997c3bdae2ba306907f9085ea95ec105f7ac273bd706ac1d63b57eb923acb,integrated_gradients,1,0.6931425431494247,0.5999349436518336,0.3200052610811522,cuda
021997c3bdae2ba306907f9085ea95ec105f7ac273bd706ac1d63b57eb923acb,gradcam,2,0.7834126952560443,0.6236406833635517,0.19305753685211602,cuda
021997c3bdae2ba306907f9085ea95ec105f7ac273bd706ac1d63b57eb923acb,integrated_gradients,2,0.6901940805825815,0.6453959054632229,0.3505584712690082,cuda
021997c3bdae2ba306907f9085ea95ec105f7ac273bd706ac1d63b57eb923acb,gradcam,3,0.0,0.0,0.0,cuda
021997c3bdae2ba306907f9085ea95ec105f7ac273bd706ac1d63b57eb923acb,integrated_gradients,3,0.0,0.0,0.06629834254143646,cuda
0309b284073b6538aa79d11b7c610f2e40aa3986088adab52f4c2afface957fc,gradcam,1,0.4748344335024374,0.04361749570512831,0.044981257809246146,cuda
0309b284073b6538aa79d11b7c610f2e40aa3986088adab52f4c2afface957fc,integrated_gradients,1,0.624956724406541,0.48630653269657925,0.2036459582633725,cuda
0309b284073b6538aa79d11b7c610f2e40aa3986088adab52f4c2afface957fc,gradcam,2,0.7607736114679688,0.5632039577304813,0.23947140916388787,cuda
0309b284073b6538aa79d11b7c610f2e40aa3986088adab52f4c2afface957fc,integrated_gradients,2,0.6114100496710381,0.4717393765074994,0.20234814903558165,cuda
0309b284073b6538aa79d11b7c610f2e40aa3986088adab52f4c2afface957fc,gradcam,3,0.0,0.0,0.0,cuda
0309b284073b6538aa79d11b7c610f2e40aa3986088adab52f4c2afface957fc,integrated_gradients,3,0.0,0.0,0.02912223133716161,cuda
0331e5a625f266105c70e5b044c3a49a99ac6aea79fd09362ce658ee4232e6d3,gradcam,1,0.1933531512314361,-0.08003705151170913,0.0,cuda
0331e5a625f266105c70e5b044c3a49a99ac6aea79fd09362ce658ee4232e6d3,integrated_gradients,1,0.6421805534930087,0.5697505630746466,0.24115755627009647,cuda
0331e5a625f266105c70e5b044c3a49a99ac6aea79fd09362ce658ee4232e6d3,gradcam,2,0.5743332149547768,0.2567013792979621,0.29781456097245573,cuda
0331e5a625f266105c70e5b044c3a49a99ac6aea79fd09362ce658ee4232e6d3,integrated_gradients,2,0.6717766045726596,0.5626390910958312,0.25043608273112383,cuda
0331e5a625f266105c70e5b044c3a49a99ac6aea79fd09362ce658ee4232e6d3,gradcam,3,0.0,0.0,0.10479964773227653,cuda
0331e5a625f266105c70e5b044c3a49a99ac6aea79fd09362ce658ee4232e6d3,integrated_gradients,3,0.0,0.0,0.05023022185014651,cuda
0344c5143d565106910a31f3556d00ecda7dabb17f10afde58c1952e0f36e7a7,gradcam,1,0.6935821767582905,0.4905703244849067,0.381417756366139,cuda
0344c5143d565106910a31f3556d00ecda7dabb17f10afde58c1952e0f36e7a7,integrated_gradients,1,0.6883755306228534,0.6070830322215696,0.27425088877602843,cuda
0344c5143d565106910a31f3556d00ecda7dabb17f10afde58c1952e0f36e7a7,gradcam,2,0.6354303088815122,0.34156876586725865,0.20105313547151749,cuda
0344c5143d565106910a31f3556d00ecda7dabb17f10afde58c1952e0f36e7a7,integrated_gradients,2,0.6327675459065294,0.6183808627864107,0.2758708365115688,cuda
0344c5143d565106910a31f3556d00ecda7dabb17f10afde58c1952e0f36e7a7,gradcam,3,0.0,0.0,0.076939585792467,cuda
0344c5143d565106910a31f3556d00ecda7dabb17f10afde58c1952e0f36e7a7,integrated_gradients,3,0.0,0.0,0.018883248730964468,cuda
03824e4a8805db421ff4a3f22ef2c3baf1b80771c85c34a5aa6f29f4bf12d3d9,gradcam,1,0.28469268978373896,-0.15969667868975357,0.0,cuda
03824e4a8805db421ff4a3f22ef2c3baf1b80771c85c34a5aa6f29f4bf12d3d9,integrated_gradients,1,0.6184152053173386,0.4539899232953303,0.19334126040428062,cuda
03824e4a8805db421ff4a3f22ef2c3baf1b80771c85c34a5aa6f29f4bf12d3d9,gradcam,2,0.641345091994897,0.5740700343590271,0.12473383391236131,cuda
03824e4a8805db421ff4a3f22ef2c3baf1b80771c85c34a5aa6f29f4bf12d3d9,integrated_gradients,2,0.6547673583059045,0.4767441425675435,0.2145709790632942,cuda
03824e4a8805db421ff4a3f22ef2c3baf1b80771c85c34a5aa6f29f4bf12d3d9,gradcam,3,0.0,0.0,0.0,cuda
03824e4a8805db421ff4a3f22ef2c3baf1b80771c85c34a5aa6f29f4bf12d3d9,integrated_gradients,3,0.0,0.0,0.03134313020244579,cuda
03868a775867a3cf2ea916c0adb924c7291329c3b41f86887398b5be0d48c380,gradcam,1,0.5210860079082853,0.12335294804922536,0.18001175778953557,cuda
03868a775867a3cf2ea916c0adb924c7291329c3b41f86887398b5be0d48c380,integrated_gradients,1,0.6612256028848784,0.5291185153084266,0.22285853539661266,cuda
03868a775867a3cf2ea916c0adb924c7291329c3b41f86887398b5be0d48c380,gradcam,2,0.7889408128554095,0.27395016768920566,0.1347806422433288,cuda
03868a775867a3cf2ea916c0adb924c7291329c3b41f86887398b5be0d48c380,integrated_gradients,2,0.6311215797358497,0.5142420269124863,0.23095792959646755,cuda
03868a775867a3cf2ea916c0adb924c7291329c3b41f86887398b5be0d48c380,gradcam,3,0.0,0.0,0.0,cuda
03868a775867a3cf2ea916c0adb924c7291329c3b41f86887398b5be0d48c380,integrated_gradients,3,0.0,0.0,0.08968512486427796,cuda
03d365ec9b2f8df51c29064486a5fff1a814479f2b1b1fc905ce5ce6acac9761,gradcam,1,0.5149766838393289,0.09056452180567849,0.18390940191105343,cuda
03d365ec9b2f8df51c29064486a5fff1a814479f2b1b1fc905ce5ce6acac9761,integrated_gradients,1,0.6871546509022372,0.5876267586166736,0.2906378600823045,cuda
03d365ec9b2f8df51c29064486a5fff1a814479f2b1b1fc905ce5ce6acac9761,gradcam,2,0.48874161155931206,0.13574038616204315,0.15462494247583985,cuda
03d365ec9b2f8df51c29064486a5fff1a814479f2b1b1fc905ce5ce6acac9761,integrated_gradients,2,0.6314360907269455,0.568663478243664,0.26877370417193425,cuda
03d365ec9b2f8df51c29064486a5fff1a814479f2b1b1fc905ce5ce6acac9761,gradcam,3,0.0,0.0,0.1906513228140942,cuda
03d365ec9b2f8df51c29064486a5fff1a814479f2b1b1fc905ce5ce6acac9761,integrated_gradients,3,0.0,0.0,0.005711995189898788,cuda
040cc6624ddfff55c59203c038aeb952d2e8a0f1dbe39ae11d9a763cc1913653,gradcam,1,0.6028141019206642,-0.05230709650222114,0.07659300579274833,cuda
040cc6624ddfff55c59203c038aeb952d2e8a0f1dbe39ae11d9a763cc1913653,integrated_gradients,1,0.7123094643255132,0.5877905549487348,0.26749179085627683,cuda
040cc6624ddfff55c59203c038aeb952d2e8a0f1dbe39ae11d9a763cc1913653,gradcam,2,0.4885066040468278,0.21148586003099024,0.0090488638648703,cuda
040cc6624ddfff55c59203c038aeb952d2e8a0f1dbe39ae11d9a763cc1913653,integrated_gradients,2,0.7498005155279215,0.6148352697958686,0.3241852487135506,cuda
040cc6624ddfff55c59203c038aeb952d2e8a0f1dbe39ae11d9a763cc1913653,gradcam,3,0.0,0.0,0.021267935280350057,cuda
040cc6624ddfff55c59203c038aeb952d2e8a0f1dbe39ae11d9a763cc1913653,integrated_gradients,3,0.0,0.0,0.03699111386650134,cuda
04329e3d75809f98c037b070433650f1ee51dd3d72050a07125219e38dbfb23f,gradcam,1,0.4694841637379678,0.25827620599991474,0.05298499632777253,cuda
04329e3d75809f98c037b070433650f1ee51dd3d72050a07125219e38dbfb23f,integrated_gradients,1,0.64981198483543,0.4577041154146697,0.26223116589108286,cuda
04329e3d75809f98c037b070433650f1ee51dd3d72050a07125219e38dbfb23f,gradcam,2,0.6114155676909323,0.2935299238432094,0.25544158118588944,cuda
04329e3d75809f98c037b070433650f1ee51dd3d72050a07125219e38dbfb23f,integrated_gradients,2,0.6451701215363981,0.43600003568101936,0.22914880587875078,cuda
04329e3d75809f98c037b070433650f1ee51dd3d72050a07125219e38dbfb23f,gradcam,3,0.0,0.0,0.23687453783583928,cuda
04329e3d75809f98c037b070433650f1ee51dd3d72050a07125219e38dbfb23f,integrated_gradients,3,0.0,0.0,0.026595744680851064,cuda
0433dd299de45a23b95d87a269e1bea72d522594c3401d6ecbcfc42d6c0ce903,gradcam,1,0.025964787947577277,-0.5995837948483954,0.0,cuda
0433dd299de45a23b95d87a269e1bea72d522594c3401d6ecbcfc42d6c0ce903,integrated_gradients,1,0.7061114069796253,0.48008803111835974,0.22854694577059614,cuda
0433dd299de45a23b95d87a269e1bea72d522594c3401d6ecbcfc42d6c0ce903,gradcam,2,0.7303700456234679,0.40663756413997465,0.14318259482856818,cuda
0433dd299de45a23b95d87a269e1bea72d522594c3401d6ecbcfc42d6c0ce903,integrated_gradients,2,0.6786437396511247,0.48271211627809324,0.20697534576067347,cuda
0433dd299de45a23b95d87a269e1bea72d522594c3401d6ecbcfc42d6c0ce903,gradcam,3,0.0,0.0,0.0008975765433330009,cuda
0433dd299de45a23b95d87a269e1bea72d522594c3401d6ecbcfc42d6c0ce903,integrated_gradients,3,0.0,0.0,0.16860735910572894,cuda
04a84209e39d733e7da4ccc9435314444e4f2eb639f3343383b346ac2036db61,gradcam,1,0.1927714317114269,-0.1757403234036008,0.0,cuda
04a84209e39d733e7da4ccc9435314444e4f2eb639f3343383b346ac2036db61,integrated_gradients,1,0.6271819331492137,0.5300269248098749,0.2321669736034377,cuda
04a84209e39d733e7da4ccc9435314444e4f2eb639f3343383b346ac2036db61,gradcam,2,0.4978042508846218,0.005757154160764472,0.001896775481681142,cuda
04a84209e39d733e7da4ccc9435314444e4f2eb639f3343383b346ac2036db61,integrated_gradients,2,0.6450419791103404,0.5510223332272222,0.2606456475317171,cuda
04a84209e39d733e7da4ccc9435314444e4f2eb639f3343383b346ac2036db61,gradcam,3,0.0,0.0,0.0,cuda
04a84209e39d733e7da4ccc9435314444e4f2eb639f3343383b346ac2036db61,integrated_gradients,3,0.0,0.0,0.05909666525960321,cuda
04eeb4e3f62918fb6ace5a4396df1491a8560d33d2dc39dbd87ed75f92901dab,gradcam,1,0.3502654052415607,0.1982103468059895,0.03634861627426683,cuda
04eeb4e3f62918fb6ace5a4396df1491a8560d33d2dc39dbd87ed75f92901dab,integrated_gradients,1,0.6965663344281103,0.5112115749668539,0.28633683670853627,cuda
04eeb4e3f62918fb6ace5a4396df1491a8560d33d2dc39dbd87ed75f92901dab,gradcam,2,0.2550809799462321,-0.087079285698155,0.0,cuda
04eeb4e3f62918fb6ace5a4396df1491a8560d33d2dc39dbd87ed75f92901dab,integrated_gradients,2,0.6951268196875751,0.5005499118700538,0.2587482754295748,cuda
04eeb4e3f62918fb6ace5a4396df1491a8560d33d2dc39dbd87ed75f92901dab,gradcam,3,0.0,0.0,0.0,cuda
04eeb4e3f62918fb6ace5a4396df1491a8560d33d2dc39dbd87ed75f92901dab,integrated_gradients,3,0.0,0.0,0.053316540722082285,cuda
05adbdc823a9cdb4f3c82f1d384d53157ae2e91192d1695ba344b188f525b30e,gradcam,1,0.17209801522630389,-0.24014078463016564,0.0,cuda
05adbdc823a9cdb4f3c82f1d384d53157ae2e91192d1695ba344b188f525b30e,integrated_gradients,1,0.6791661771911668,0.5139278150997604,0.2373320182468253,cuda
05adbdc823a9cdb4f3c82f1d384d53157ae2e91192d1695ba344b188f525b30e,gradcam,2,0.4066686478024307,-0.07571312858516765,0.13619381863466545,cuda
05adbdc823a9cdb4f3c82f1d384d53157ae2e91192d1695ba344b188f525b30e,integrated_gradients,2,0.6401083518462243,0.5037028153657234,0.22285853539661266,cuda
05adbdc823a9cdb4f3c82f1d384d53157ae2e91192d1695ba344b188f525b30e,gradcam,3,0.0,0.0,0.0005982053838484546,cuda
