image_id,xai_method,baseline,curve,auc,target_class,fractions,probabilities,actual_backend
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,gradcam,mean,deletion,0.7052629292011261,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9995126724243164, 0.9392760992050171, 0.26246508955955505, 0.3678785264492035, 0.28104957938194275, 0.9458061456680298, 0.8751471042633057, 0.5645104646682739, 0.8307185769081116, 0.9860244393348694, 0.9999938011169434]",cuda
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,gradcam,mean,insertion,0.9975685834884643,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9999938011169434, 0.9966139197349548, 0.9993566870689392, 0.9994532465934753, 0.9925746917724609, 0.9984121322631836, 0.9913995265960693, 0.9984400868415833, 0.9998435974121094, 0.9998387098312378, 0.9995126724243164]",cuda
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,gradcam,blur,deletion,0.577046447247267,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9995126724243164, 0.9710493683815002, 0.9059603810310364, 0.8732953667640686, 0.8287391066551208, 0.6282732486724854, 0.5705275535583496, 0.07933998107910156, 0.09885372966527939, 0.08392613381147385, 0.4614865481853485]",cuda
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,gradcam,blur,insertion,0.9460884213447571,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.4614865481853485, 0.9204204678535461, 0.8411818742752075, 0.9849761128425598, 0.9903585314750671, 0.9960131645202637, 0.9991176724433899, 0.999259889125824, 0.9995682835578918, 0.9994885921478271, 0.9995126724243164]",cuda
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,integrated_gradients,mean,deletion,0.5245938561856746,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9995126724243164, 0.6106354594230652, 0.1729547381401062, 0.014310222119092941, 0.018945535644888878, 0.34862151741981506, 0.23838214576244354, 0.8621212840080261, 0.9804141521453857, 0.9998002648353577, 0.9999938011169434]",cuda
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,integrated_gradients,mean,insertion,0.7411860883235932,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9999938011169434, 0.9463669657707214, 0.9989446997642517, 0.9972934126853943, 0.9737333059310913, 0.7222850322723389, 0.6687482595443726, 0.1225658506155014, 0.06904783099889755, 0.913122296333313, 0.9995126724243164]",cuda
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,integrated_gradients,blur,deletion,0.4476742647588253,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9995126724243164, 0.9981573224067688, 0.9869576692581177, 0.825444757938385, 0.2998722791671753, 0.3438159227371216, 0.12394529581069946, 0.06606897711753845, 0.01558520458638668, 0.08639556169509888, 0.4614865481853485]",cuda
0008c7920d2314716b18aeec794b9c660038f09d999037db881935ca9307d92f,integrated_gradients,blur,insertion,0.8923112452030182,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.4614865481853485, 0.7844613790512085, 0.8807054162025452, 0.9733570218086243, 0.9598461389541626, 0.7548065185546875, 0.8481367230415344, 0.9922835230827332, 0.9998321533203125, 0.9991838335990906, 0.9995126724243164]",cuda
0032224fe8c451bc550a770014e66ba230c13fdeb587583721b2b9701600973d,gradcam,mean,deletion,0.7326196178793908,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.7650728225708008, 0.9930932521820068, 0.9774848818778992, 0.9988390803337097, 0.9990697503089905, 0.9957420229911804, 0.8772391080856323, 0.7535416483879089, 0.22642208635807037, 0.07638665288686752, 0.09168265759944916]",cuda
0032224fe8c451bc550a770014e66ba230c13fdeb587583721b2b9701600973d,gradcam,mean,insertion,0.9019830405712128,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.09168265759944916, 0.9483516216278076, 0.859309732913971, 0.9004755616188049, 0.9479148983955383, 0.9407004714012146, 0.9993844032287598, 0.998943030834198, 0.9983199238777161, 0.9980529546737671, 0.7650728225708008]",cuda
